uuid,name,brand,street,house_number,post_code,city,latitude,longitude
5914a7a9-1553-4cfd-9edd-25f0c0eb29f5,HOECHST (EU-PROJEKT),AGIP ENI,Industriepark Hoechst,0,65926,Frankfurt,50.08232,8.54354
2e199485-6327-46b8-a1cb-623cb461a7c4,ENI,AGIP ENI,Dortelweiler Strasse,49,60389,Frankfurt,50.13377,8.70642
01299d64-e518-48ac-af95-a8bba6d99238,ENI,AGIP ENI,Vilbeler Landstrasse,248,60388,Frankfurt,50.15693,8.74517
aa842438-c80d-46c1-828f-2cadb756d022,Tankstelle FFM Borsigallee,Roth- Energie,Borsigallee Str. ,31,60388,Frankfurt a. Main,50.13907,8.74561
aa842438-c80d-46c1-828f-2cadb756d042,TS FFM Dieselstraße,Roth- Energie,Dieselstraße. ,25,60314,Frankfurt a. Main,50.12017,8.74418
31a46b50-485e-410e-b0f6-4a8c7c6c816e,rhv Tankstelle,Raiffeisen,Josef Eicher Str.,8,60437,Frankfurt,50.19298172,8.650595665
cdd7eb9d-0212-4d2a-be8d-fff71fe189f5,Reifen Diehl Service GmbH,0,Homburger Landstr. ,448,60433,Frankfurt/M.Bonames,50.1709876,8.6750838
343dd4c8-8116-4857-8f77-910fe13af307,Doukkali Autoservice,Doukkali Autoservice,Am Kirchholz ,28,60529,Frankfurt,50.084453,8.582512
0c12fbc2-e399-46d8-ba2a-67697ecb397a,Reifen Diehl Griesheim,0,Mainzer Landstraße ,529,65933,Frankfurt,50.099983,8.607482
2419375e-a7e9-4a1c-b2fa-25db1d172605,Aral Tankstelle,ARAL,Carl-Benz-Str.,10,60386,Frankfurt,50.1217651,8.749124
